,Unnamed: 0,county,risk,statename,stateAbbrev
189,6668,ShastaCounty,59.1108765777981,California,CA
190,6669,YubaCounty,58.7223468960458,California,CA
191,6671,SanJoaquinCounty,57.9878046999862,California,CA
192,6675,SacramentoCounty,56.95522844356901,California,CA
193,6676,TehamaCounty,56.52919177894101,California,CA
194,6681,ButteCounty,55.753858347470796,California,CA
195,6683,ColusaCounty,55.69692050516871,California,CA
196,6691,CalaverasCounty,54.5782564454439,California,CA
197,6702,ElDoradoCounty,53.0647859146793,California,CA
198,6725,YoloCounty,51.1706879838235,California,CA
199,6734,TuolumneCounty,50.68378438896689,California,CA
200,6743,SiskiyouCounty,50.39469079615829,California,CA
201,6750,LassenCounty,49.9990739666961,California,CA
202,6754,GlennCounty,49.7712600232174,California,CA
203,6763,AmadorCounty,49.566410903067705,California,CA
204,6771,PlacerCounty,49.13640756801461,California,CA
205,6916,TrinityCounty,45.540579493284504,California,CA
206,6939,NevadaCounty,45.0064365366939,California,CA
207,6990,ModocCounty,44.0076632330527,California,CA
208,7001,PlumasCounty,43.7711639459595,California,CA
209,7140,SierraCounty,41.33480212278079,California,CA
210,7425,AlpineCounty,35.8044444463214,California,CA
211,7626,SanDiegoCounty,63.8449421613707,California,CA
212,7634,ImperialCounty,57.3623859652643,California,CA
213,8279,SanFranciscoCounty,64.2529255741568,California,CA
214,8281,MontereyCounty,63.2434841912362,California,CA
215,8284,HumboldtCounty,61.5083284895679,California,CA
216,8285,SantaClaraCounty,61.116340821053,California,CA
217,8287,SanMateoCounty,59.863278329135504,California,CA
218,8291,ContraCostaCounty,58.5508959216179,California,CA
219,8293,AlamedaCounty,58.44523054566049,California,CA
220,8300,SantaCruzCounty,57.73749701809221,California,CA
221,8316,MendocinoCounty,56.4753545851083,California,CA
222,8369,SolanoCounty,54.4713511242583,California,CA
223,8484,DelNorteCounty,51.999251623217404,California,CA
224,8512,SonomaCounty,51.6235330407059,California,CA
225,8584,LakeCounty,50.5809976414178,California,CA
226,8615,SanBenitoCounty,50.144051192685204,California,CA
227,8795,NapaCounty,47.72873736513699,California,CA
228,9632,MarinCounty,38.5143102991981,California,CA
229,10078,RiversideCounty,63.9783354178658,California,CA
230,10079,SanBernardinoCounty,63.446617618924506,California,CA
231,10167,OrangeCounty,52.783645792887604,California,CA
232,11476,PuebloCounty,62.1376189214853,California,CA
233,11477,AdamsCounty,61.870977655097,California,CA
234,11479,ElPasoCounty,60.9272414519455,California,CA
235,11481,OteroCounty,60.066872753530006,California,CA
236,11482,MontezumaCounty,59.751522444742,California,CA
237,11486,HuerfanoCounty,57.9248996534495,California,CA
238,11487,LasAnimasCounty,57.8906236299134,California,CA
239,11494,DenverCounty,56.243246444804,California,CA
240,11496,WeldCounty,55.9753921734251,California,CA
241,11499,LarimerCounty,55.5933736965185,Colorado,CO
242,11500,DenverCounty,55.3592516519641,Colorado,CO
243,11501,MesaCounty,55.34924623432771,Colorado,CO
244,11503,PuebloCounty,55.2585420876709,Colorado,CO
245,11505,EagleCounty,55.0731319163416,Colorado,CO
246,11506,AdamsCounty,55.04705929673121,Colorado,CO
247,11510,WeldCounty,54.638628473153,Colorado,CO
248,11514,ConejosCounty,54.324991360340796,Colorado,CO
249,11517,BentCounty,54.091217741036786,Colorado,CO
250,11519,OteroCounty,53.903962741563504,Colorado,CO
251,11520,NatronaCounty,53.845522707799304,Colorado,CO
252,11524,MontroseCounty,53.685826881903715,Colorado,CO
253,11526,ElPasoCounty,53.4592819322605,Colorado,CO
254,11527,AlamosaCounty,53.451473892199104,Colorado,CO
255,11533,LasAnimasCounty,53.160739732475605,Colorado,CO
